category,year,percentage
Access to Information,2022,92.5
Access to Information,2023,92.8
Access to Information,2024,93.0
Professional Use,2022,35.8
Professional Use,2023,36.3
Professional Use,2024,36.9
Finding information about goods or services,2022,92.5
Finding information about goods or services,2023,92.8
Finding information about goods or services,2024,93.0
Reading newspaper or magazines online,2022,68.5
Reading newspaper or magazines online,2023,68.9
Reading newspaper or magazines online,2024,69.2
Applying for jobs,2022,35.8
Applying for jobs,2023,36.3
Applying for jobs,2024,36.9
Participating in professional networks,2022,11.7
Participating in professional networks,2023,12.2
Participating in professional networks,2024,13.5
Work from home,2022,15.9
Work from home,2023,16.4
Work from home,2024,17.0
Communication,2022,99.2
Communication,2023,99.4
Communication,2024,99.7
Participating in social networks,2022,99.2
Participating in social networks,2023,99.4
Participating in social networks,2024,99.7
Sending e-mail,2022,81.7
Sending e-mail,2023,82.0
Sending e-mail,2024,82.4
Telephoning over the Internet,2022,85.2
Telephoning over the Internet,2023,85.9
Telephoning over the Internet,2024,86.3
Uploading content to a website,2022,17.6
Uploading content to a website,2023,18.4
Uploading content to a website,2024,19.1
Managing personal homepage,2022,10.3
Managing personal homepage,2023,10.9
Managing personal homepage,2024,11.4
Communication,2022,5.5
Communication,2023,6.1
Communication,2024,6.6
Other Online Services,2022,15.5
Other Online Services,2023,15.9
Other Online Services,2024,16.4
Managing blog,2022,5.5
Managing blog,2023,6.1
Managing blog,2024,6.6
Accessing online discussion,2022,39.3
Accessing online discussion,2023,39.7
Accessing online discussion,2024,40.3
Performing tasks to generate income,2022,15.5
Performing tasks to generate income,2023,15.9
Performing tasks to generate income,2024,16.4
Using services related to travel or accommodation,2022,36.6
Using services related to travel or accommodation,2023,37.0
Using services related to travel or accommodation,2024,37.4
Selling goods or services other than e-Commerce,2022,14.2
Selling goods or services other than e-Commerce,2023,14.9
Selling goods or services other than e-Commerce,2024,15.7
Other Online Services,2022,74.8
Other Online Services,2023,75.2
Other Online Services,2024,75.5
Learning Activities,2022,26.4
Learning Activities,2023,27.0
Learning Activities,2024,27.4
Using Internet banking,2022,74.8
Using Internet banking,2023,75.2
Using Internet banking,2024,75.5
Using software for editing texts,2022,35.9
Using software for editing texts,2023,36.3
Using software for editing texts,2024,36.7
Downloading software or applications,2022,89.1
Downloading software or applications,2023,89.6
Downloading software or applications,2024,90.0
Ordering goods or services online other than                                  e-Commerce,2022,50.4
Ordering goods or services online other than                                  e-Commerce,2023,50.8
Ordering goods or services online other than                                  e-Commerce,2024,51.4
Doing a formal online course,2022,26.4
Doing a formal online course,2023,27.0
Doing a formal online course,2024,27.4
Learning Activities,2022,52.9
Learning Activities,2023,53.3
Learning Activities,2024,53.8
Entertainment,2022,72.8
Entertainment,2023,73.1
Entertainment,2024,73.4
Consulting websites for formal learning purposes,2022,52.9
Consulting websites for formal learning purposes,2023,53.3
Consulting websites for formal learning purposes,2024,53.8
Doing an informal online course,2022,26.1
Doing an informal online course,2023,26.7
Doing an informal online course,2024,27.1
Listening to radio online,2022,72.8
Listening to radio online,2023,73.1
Listening to radio online,2024,73.4
Watching television online,2022,68.1
Watching television online,2023,68.4
Watching television online,2024,68.8
"Downloading pictures, movie or games",2022,93.5
"Downloading pictures, movie or games",2023,93.9
"Downloading pictures, movie or games",2024,94.3
Storage Space,2022,51.2
Storage Space,2023,51.8
Storage Space,2024,52.2
e-Health,2022,62.3
e-Health,2023,62.9
e-Health,2024,63.4
e-Government,2022,54.8
e-Government,2023,55.4
e-Government,2024,55.7
Using storage space on the Internet,2022,51.2
Using storage space on the Internet,2023,51.8
Using storage space on the Internet,2024,52.2
Seeking health information,2022,62.3
Seeking health information,2023,62.9
Seeking health information,2024,63.4
Making a medical appointment,2022,31.7
Making a medical appointment,2023,32.3
Making a medical appointment,2024,32.9
Getting information from government organisations,2022,54.8
Getting information from government organisations,2023,55.4
Getting information from government organisations,2024,55.7
Interacting with government organisations,2022,38.4
Interacting with government organisations,2023,38.7
Interacting with government organisations,2024,38.9
Civic and Politics,2022,43.3
Civic and Politics,2023,43.7
Civic and Politics,2024,44.0
e-Commerce,2022,70.4
e-Commerce,2023,70.6
e-Commerce,2024,70.8
"Safety, Online Protection and Awareness",2022,72.9
"Safety, Online Protection and Awareness",2023,75.2
"Safety, Online Protection and Awareness",2024,75.4
Posting opinions or voting,2022,43.3
Posting opinions or voting,2023,43.7
Posting opinions or voting,2024,44.0
Purchasing goods or services via e-Commerce,2022,70.4
Purchasing goods or services via e-Commerce,2023,70.6
Purchasing goods or services via e-Commerce,2024,70.8
Selling goods or services via           e-Commerce,2022,8.2
Selling goods or services via           e-Commerce,2023,8.7
Selling goods or services via           e-Commerce,2024,9.3
Owning online security software and protection,2022,72.9
Owning online security software and protection,2023,75.2
Owning online security software and protection,2024,75.4
"Safety, Online Protection and Awareness",2022,28.6
"Safety, Online Protection and Awareness",2023,29.0
"Safety, Online Protection and Awareness",2024,29.5
Verifying the reliability of information found online,2022,28.6
Verifying the reliability of information found online,2023,29.0
Verifying the reliability of information found online,2024,29.5
Setting up effective measure to protect devices & online accounts,2022,79.1
Setting up effective measure to protect devices & online accounts,2023,79.6
Setting up effective measure to protect devices & online accounts,2024,80.0
"Changing privacy settings on your devices, accounts or app",2022,77.8
"Changing privacy settings on your devices, accounts or app",2023,78.3
"Changing privacy settings on your devices, accounts or app",2024,78.7
Cyber crime awareness,2022,65.2
Cyber crime awareness,2023,65.7
Cyber crime awareness,2024,66.2
