year,usage_interval,percentage
2018,Less than 1 hour,9.6
2018,1-4 Hours,39.2
2018,5-8 Hours,23.9
2018,9-12 Hours,13.4
2018,13-18 Hours,5.7
2018,More than 18 Hours,8.1
2020,Less than 1 hour,1.3
2020,1-4 Hours,24.9
2020,5-8 Hours,28.6
2020,9-12 Hours,21.5
2020,13-18 Hours,9
2020,More than 18 Hours,11.5
2022,Less than 1 hour,18
2022,1-4 Hours,49.4
2022,5-8 Hours,23.9
2022,9-12 Hours,4.7
2022,13-18 Hours,1.1
2022,More than 18 Hours,1.7
2024,Less than 1 hour,18
2024,1-4 Hours,55.7
2024,5-8 Hours,17.4
2024,9-12 Hours,4.2
2024,13-18 Hours,2.5
2024,More than 18 Hours,2.2
