state,year,internet_penetration_percent
Johor,2021,98.0
Johor,2022,98.5
Johor,2023,98.8
Johor,2024,99.0
Kedah,2021,95.1
Kedah,2022,95.8
Kedah,2023,95.9
Kedah,2024,96.4
Kelantan,2021,92.6
Kelantan,2022,93.9
Kelantan,2023,94.6
Kelantan,2024,94.9
Melaka,2021,95.1
Melaka,2022,96.2
Melaka,2023,96.3
Melaka,2024,96.8
Negeri Sembilan,2021,94.4
Negeri Sembilan,2022,95.9
Negeri Sembilan,2023,96.0
Negeri Sembilan,2024,96.4
Pahang,2021,93.8
Pahang,2022,94.9
Pahang,2023,95.4
Pahang,2024,95.8
Pulau Pinang,2021,97.4
Pulau Pinang,2022,99.2
Pulau Pinang,2023,99.3
Pulau Pinang,2024,99.7
Perak,2021,89.1
Perak,2022,94.4
Perak,2023,95.0
Perak,2024,95.6
Perlis,2021,93.8
Perlis,2022,94.6
Perlis,2023,95.6
Perlis,2024,96.2
Selangor,2021,98.4
Selangor,2022,99.0
Selangor,2023,99.2
Selangor,2024,99.5
Terengganu,2021,92.7
Terengganu,2022,93.9
Terengganu,2023,94.6
Terengganu,2024,95.2
Sabah,2021,89.4
Sabah,2022,89.6
Sabah,2023,90.4
Sabah,2024,91.0
Sarawak,2021,89.3
Sarawak,2022,89.8
Sarawak,2023,90.6
Sarawak,2024,91.1
W.P. Kuala Lumpur,2021,99.8
W.P. Kuala Lumpur,2022,99.8
W.P. Kuala Lumpur,2023,99.8
W.P. Kuala Lumpur,2024,100.0
W.P. Labuan,2021,99.9
W.P. Labuan,2022,99.7
W.P. Labuan,2023,99.7
W.P. Labuan,2024,99.7
W.P. Putrajaya,2021,100.0
W.P. Putrajaya,2022,100.0
W.P. Putrajaya,2023,100.0
W.P. Putrajaya,2024,100.0
