country,internet_penetration,hdi
Singapore,94.28518987,0.946
United Arab Emirates,100,0.94
Japan,85.00990295,0.925
Saudi Arabia,100,0.9
Qatar,98.15229797,0.886
Kuwait,99.74731125,0.852
Kazakhstan,92.87846096,0.837
Malaysia,97.69272633,0.819
Thailand,89.53525238,0.798
China,90.6,0.797
Sri Lanka,51.2,0.776
Mongolia,83.74320221,0.747
Uzbekistan,89.01361047,0.74
Indonesia,69.20836554,0.728
Philippines,77.86699677,0.72
Bangladesh,44.50274195,0.685
India,60.25230026,0.685
Nepal,45.80680084,0.622
Cambodia,68.92549896,0.606
